name,cards.nodes.note,cards.nodes.content.id,cards.nodes.content.number,cards.nodes.content.title,cards.nodes.content,cards.pageInfo.hasNextPage,cards.pageInfo.endCursor,cards.totalCount
Ideas 🤯,,MDU6SXNzdWU2OTg0Nzc5NjQ=,798,What is our next engagement with the CSS team. AGC continues to request if automation of code.gov submissions are completed.,,,,
Ideas 🤯,,MDU6SXNzdWU3MDQ1OTg0Nzk=,824,Adv Sec onboarding path,,,,
Ideas 🤯,,MDU6SXNzdWU3MDQ1OTk2Mzc=,825,"Establish ""Success Criteria"" for Advanced Security",,,,
Ideas 🤯,,MDU6SXNzdWU3MDQ1OTk5Mjg=,827,Build out Advanced Security Roadmap at the VA,,,,
Ideas 🤯,,MDU6SXNzdWU3MDQ1OTk3NTY=,826,Will teams be signed up by leaders or will this be by volunteer basis,,,,
Ideas 🤯,,MDU6SXNzdWU3MDU4Mjc3MzQ=,831,Actions user policy and audit,,,,
Ideas 🤯,"Work on our own migration tool for RTC to GIT based on work by Chris Bell in the VA who based his work off of this:

https://bitbucket.org/Ralf_Jonas/jazzrtc2g-t/src/master/Migration.pl

He's seeking approval from his manager to share his enhancements.",MDU6SXNzdWU3MDU4Mjc3MzQ=,831,Actions user policy and audit,,,,
Ideas 🤯,"Work on our own migration tool for RTC to GIT based on work by Chris Bell in the VA who based his work off of this:

https://bitbucket.org/Ralf_Jonas/jazzrtc2g-t/src/master/Migration.pl

He's seeking approval from his manager to share his enhancements.",MDU6SXNzdWU2MTYxODcxMTA=,335,Follow up on EVR Migration,,false,OA,8
Deep Freeze (not ready) 🥶,,MDU6SXNzdWU2OTgwNTQ0ODA=,793,AFTER OCT 1: Consolidate and Update transition-to-github Issue Templates,,,,
Deep Freeze (not ready) 🥶,,MDU6SXNzdWU1NzIyOTE5MDk=,209,Revisit after Ent. Grid: Automate notifying VA Slack users about GitHub.com outages,,,,
Deep Freeze (not ready) 🥶,,MDU6SXNzdWU2OTY5NjgxMTQ=,791,Enable Adv. Sec. for all existing repos?,,,,
Deep Freeze (not ready) 🥶,,MDU6SXNzdWU1ODYxNjA3OTA=,239,Ask VA to bundle their certificate authorities with cacerts,,,,
Deep Freeze (not ready) 🥶,,MDU6SXNzdWU2ODczNjExNTg=,756,TRM availability for GitHub phone app,,,,
Deep Freeze (not ready) 🥶,,MDU6SXNzdWU2NzYxNDgzMTg=,687,Investigate inviting va users in new user tickets automatically,,,,
Deep Freeze (not ready) 🥶,,MDU6SXNzdWU2NDUwMjkyODU=,541,Self hosted runner webinar,,,,
Deep Freeze (not ready) 🥶,,MDU6SXNzdWU2NDUwMTg0MzE=,538,ChatOps Webinar,,,,
Deep Freeze (not ready) 🥶,,MDU6SXNzdWU2NDUwMDM5NDA=,532,How should we integrate GitHub and Xray? ,,,,
Deep Freeze (not ready) 🥶,Migrate EC to .com as part of long-term VA strategy,MDU6SXNzdWU2NDUwMDM5NDA=,532,How should we integrate GitHub and Xray? ,,,,
Deep Freeze (not ready) 🥶,Migrate EC to .com as part of long-term VA strategy,MDU6SXNzdWU2NDU4MTE2NTM=,544,Investigate our ability to use security features to benefit VistA and MUMPS code,,,,
