closed,closedAt,createdAt,creator.login,description,dueOn,id,number,state,title,updatedAt
true,2020-06-23T15:33:07Z,2020-01-30T17:07:56Z,allthedoll,This milestone tracks business unit's migrations from Rational to GitHub with the assistance of the GitHub team for this month.,2020-04-30T00:00:00Z,MDk6TWlsZXN0b25lNTA1Nzg1MA==,3,CLOSED,GitHub - Rational migrations (April),2020-06-23T15:33:07Z
true,2020-06-23T15:33:12Z,2020-01-30T17:08:20Z,allthedoll,This milestone tracks business unit's migrations from Rational to GitHub with the assistance of the GitHub team for this month.,2020-05-31T00:00:00Z,MDk6TWlsZXN0b25lNTA1Nzg1MQ==,4,CLOSED,GitHub - Rational migrations (May),2020-06-23T15:33:12Z
false,,2020-01-30T17:08:46Z,allthedoll,This milestone tracks business unit's migrations from Rational to GitHub with the assistance of the GitHub team for this month.,2020-06-30T00:00:00Z,MDk6TWlsZXN0b25lNTA1Nzg1Mg==,5,OPEN,GitHub - Rational migrations (June),2020-01-30T17:08:46Z
false,,2020-01-30T17:09:08Z,allthedoll,"This milestone tracks business unit's migrations from Rational to GitHub with the assistance of the GitHub team for this month.
",2020-07-31T00:00:00Z,MDk6TWlsZXN0b25lNTA1Nzg1NA==,6,OPEN,GitHub - Rational migrations (July),2020-01-30T17:09:08Z
false,,2020-01-30T17:09:33Z,allthedoll,This milestone tracks business unit's migrations from Rational to GitHub with the assistance of the GitHub team for this month.,2020-08-31T00:00:00Z,MDk6TWlsZXN0b25lNTA1Nzg1NQ==,7,OPEN,GitHub - Rational migrations (August),2020-01-30T17:09:33Z
false,,2020-01-30T17:10:02Z,allthedoll,This milestone tracks business unit's migrations from Rational to GitHub with the assistance of the GitHub team for this month.,2020-09-30T00:00:00Z,MDk6TWlsZXN0b25lNTA1Nzg1Ng==,8,OPEN,GitHub - Rational migrations (September),2020-01-30T17:10:02Z
false,,2020-01-30T17:10:31Z,allthedoll,This milestone tracks business unit's migrations from Rational to GitHub with the assistance of the GitHub team for this month.,2020-10-31T00:00:00Z,MDk6TWlsZXN0b25lNTA1Nzg1Nw==,9,OPEN,GitHub - Rational migrations (October),2020-01-30T17:10:31Z
false,,2020-01-30T17:11:00Z,allthedoll,This milestone tracks business unit's migrations from Rational to GitHub with the assistance of the GitHub team for this month.,2020-11-30T00:00:00Z,MDk6TWlsZXN0b25lNTA1Nzg1OQ==,10,OPEN,GitHub - Rational migrations (November),2020-01-30T17:11:00Z
false,,2020-01-30T17:11:27Z,allthedoll,This milestone tracks business unit's migrations from Rational to GitHub with the assistance of the GitHub team for this month.,2020-12-31T00:00:00Z,MDk6TWlsZXN0b25lNTA1Nzg2MA==,11,OPEN,GitHub - Rational migrations (December),2020-01-30T17:11:27Z
false,,2020-02-26T19:44:33Z,allthedoll,This is a demo milestone...,,MDk6TWlsZXN0b25lNTE0NDUwOQ==,12,OPEN,Demo milestone - Get stuff done,2020-06-30T17:10:39Z
